"filename", "language", "SCSS", "PHP", "JavaScript", "HTML", "JSON", "vue", "comment", "blank", "total"
"c:\laragon\www\telexperticia\resources\views\app\users\edit.blade.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 9, 85
"c:\laragon\www\telexperticia\resources\views\app\users\form-inputs.blade.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 7, 61
"c:\laragon\www\telexperticia\resources\views\app\users\index.blade.php", "PHP", 0, 164, 0, 0, 0, 0, 0, 7, 171
"c:\laragon\www\telexperticia\resources\views\app\users\show.blade.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 1, 25
"c:\laragon\www\telexperticia\resources\views\app\zoom\zoom_config.blade.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 3, 52
"c:\laragon\www\telexperticia\resources\views\auth\login.blade.php", "PHP", 0, 56, 0, 0, 0, 0, 0, 6, 62
"c:\laragon\www\telexperticia\resources\views\auth\passwords\confirm.blade.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 10, 58
"c:\laragon\www\telexperticia\resources\views\auth\passwords\email.blade.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 11, 62
"c:\laragon\www\telexperticia\resources\views\auth\passwords\reset.blade.php", "PHP", 0, 62, 0, 0, 0, 0, 0, 15, 77
"c:\laragon\www\telexperticia\resources\views\auth\verify.blade.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\laragon\www\telexperticia\resources\views\components\form-button.blade.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\laragon\www\telexperticia\resources\views\components\form.blade.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\laragon\www\telexperticia\resources\views\components\inputs\basic.blade.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\laragon\www\telexperticia\resources\views\components\inputs\checkbox.blade.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 6, 40
"c:\laragon\www\telexperticia\resources\views\components\inputs\date.blade.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\telexperticia\resources\views\components\inputs\datetime.blade.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\telexperticia\resources\views\components\inputs\email.blade.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\telexperticia\resources\views\components\inputs\group.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\laragon\www\telexperticia\resources\views\components\inputs\hidden.blade.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\laragon\www\telexperticia\resources\views\components\inputs\number.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\laragon\www\telexperticia\resources\views\components\inputs\partials\error.blade.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\telexperticia\resources\views\components\inputs\partials\label.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\laragon\www\telexperticia\resources\views\components\inputs\password.blade.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\telexperticia\resources\views\components\inputs\select.blade.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\laragon\www\telexperticia\resources\views\components\inputs\text.blade.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\telexperticia\resources\views\components\inputs\textarea.blade.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\laragon\www\telexperticia\resources\views\components\partials\thumbnail.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\laragon\www\telexperticia\resources\views\home.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 3, 42
"c:\laragon\www\telexperticia\resources\views\layout\footer.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\laragon\www\telexperticia\resources\views\layout\header.blade.php", "PHP", 0, 173, 0, 0, 0, 0, 0, 14, 187
"c:\laragon\www\telexperticia\resources\views\layout\master.blade.php", "PHP", 0, 75, 0, 0, 0, 0, 1, 20, 96
"c:\laragon\www\telexperticia\resources\views\layout\master2.blade.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 13, 53
"c:\laragon\www\telexperticia\resources\views\layouts\app.blade.php", "PHP", 0, 54, 0, 0, 0, 0, 1, 18, 73
"c:\laragon\www\telexperticia\resources\views\layouts\nav.blade.php", "PHP", 0, 105, 0, 0, 0, 0, 0, 10, 115
"c:\laragon\www\telexperticia\resources\views\mails\user-created.blade.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\laragon\www\telexperticia\resources\views\reports\includes\ice\ice.conf.js", "JavaScript", 0, 0, 5, 0, 0, 0, 46, 5, 56
"c:\laragon\www\telexperticia\resources\views\reports\includes\ice\ice.js", "JavaScript", 0, 0, 127, 0, 0, 0, 57, 25, 209
"c:\laragon\www\telexperticia\resources\views\reports\includes\ice\ide.html", "HTML", 0, 0, 0, 12, 0, 0, 30, 1, 43
"c:\laragon\www\telexperticia\resources\views\reports\report-pdf.blade.php", "PHP", 0, 166, 0, 0, 0, 0, 0, 9, 175
"c:\laragon\www\telexperticia\resources\views\reports\stat-pdf.blade.php", "PHP", 0, 216, 0, 0, 0, 0, 0, 10, 226
"Total", "-", 5253, 6476, 141, 12, 79, 68, 310, 1016, 13355
