"filename", "language", "SCSS", "JavaScript", "PHP", "HTML", "JSON", "vue", "Markdown", "CSS", "Makefile", "Shell Script", "YAML", "Less", "Ignore", "CoffeeScript", "XML", "comment", "blank", "total"
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\scss\_extras.scss", "SCSS", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 65
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\scss\_functions.scss", "SCSS", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\scss\_icons.scss", "SCSS", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\scss\_path.scss", "SCSS", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\scss\_variables.scss", "SCSS", 5155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5156
"c:\laragon\www\telexperticia\public\assets\plugins\@mdi\scss\materialdesignicons.scss", "SCSS", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ace.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-beautify.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-code_lens.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-elastic_tabstops_lite.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-emmet.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-error_marker.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-keybinding_menu.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-language_tools.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-linking.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-modelist.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-options.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-prompt.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-rtl.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-searchbox.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-settings_menu.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-spellcheck.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-split.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-static_highlight.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-statusbar.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-textarea.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-themelist.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\telexperticia\public\assets\plugins\ace-builds\ext-whitespace.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
